,route_id_weekday,18~19_ride_route_id_weekday_mean,18~19_ride_route_id_weekday_sum
660,228(화순전대병원)_1108_4,2.142857142857143,15
661,228(화순전대병원)_1108_5,3.0,12
662,228(화순전대병원)_1108_6,1.4,7
663,228(화순전대병원)_1122_0,15.428571428571429,108
664,228(화순전대병원)_1122_1,11.714285714285714,82
665,228(화순전대병원)_1122_2,14.428571428571429,101
666,228(화순전대병원)_1122_3,13.714285714285714,96
667,228(화순전대병원)_1122_4,14.428571428571429,101
668,228(화순전대병원)_1122_5,21.571428571428573,151
669,228(화순전대병원)_1122_6,11.333333333333334,68
670,228(화순전대병원)_1123_0,3.1666666666666665,19
671,228(화순전대병원)_1123_1,3.4285714285714284,24
672,228(화순전대병원)_1123_2,4.285714285714286,30
673,228(화순전대병원)_1123_3,4.142857142857143,29
674,228(화순전대병원)_1123_4,1.8333333333333333,11
675,228(화순전대병원)_1123_5,4.714285714285714,33
676,228(화순전대병원)_1123_6,2.0,10
677,228(화순전대병원)_1127_0,3.0,15
678,228(화순전대병원)_1127_1,3.5,21
679,228(화순전대병원)_1127_2,3.5714285714285716,25
680,228(화순전대병원)_1127_3,2.3333333333333335,14
681,228(화순전대병원)_1127_4,3.1666666666666665,19
682,228(화순전대병원)_1127_5,1.75,7
683,228(화순전대병원)_1127_6,2.25,9
684,228(화순전대병원)_1130_0,5.142857142857143,36
685,228(화순전대병원)_1130_1,5.285714285714286,37
686,228(화순전대병원)_1130_2,5.142857142857143,36
687,228(화순전대병원)_1130_3,4.571428571428571,32
688,228(화순전대병원)_1130_4,4.714285714285714,33
689,228(화순전대병원)_1130_5,5.142857142857143,36
690,228(화순전대병원)_1130_6,2.4,12
691,228(화순전대병원)_1131_0,5.857142857142857,41
692,228(화순전대병원)_1131_1,4.714285714285714,33
693,228(화순전대병원)_1131_2,5.833333333333333,35
694,228(화순전대병원)_1131_3,5.285714285714286,37
695,228(화순전대병원)_1131_4,3.8,19
696,228(화순전대병원)_1131_5,3.5,21
697,228(화순전대병원)_1131_6,1.8,9
698,228(화순전대병원)_1137_0,17.0,119
699,228(화순전대병원)_1137_1,14.714285714285714,103
700,228(화순전대병원)_1137_2,12.857142857142858,90
701,228(화순전대병원)_1137_3,17.714285714285715,124
