idx,target,m,s
5159,임곡89_2051,1.229508197,75
5160,임곡89_5322,1.545023697,326
5161,임곡89_5578,1.234375,158
5162,임곡89_5579,1.196428571,134
5163,임곡89_5580,1.184210526,90
5164,임곡90_5153,2.271689498,995
5165,임곡90_5217,3.089719626,1653
5166,임곡90_5327,1.341935484,208
5167,임곡90_5158,1.399176955,340
5168,임곡90_5159,2.631751227,1608
5169,임곡90_5220,1.255144033,305
5170,임곡90_5221,1.223602484,197
5171,임곡90_5960,1.372727273,302
5172,임곡90_5778,1.181818182,65
5173,임곡90_5130,1.382513661,253
5174,임곡90_5008,3.150170648,923
5175,임곡90_5780,1.507575758,398
5176,임곡90_5787,1.514767932,359
5177,임곡90_5786,1.380952381,174
5178,임곡90_5040,1.330097087,137
5179,임곡90_5043,1.77027027,262
5180,임곡90_5236,1.611445783,535
5181,임곡90_5237,1.386861314,190
5182,임곡90_5790,1.052631579,80
5183,임곡90_5050,1.608391608,230
5184,임곡90_5052,2.01183432,680
5185,임곡90_5966,1.227272727,54
5186,임곡90_5057,1.392405063,220
5187,임곡90_5058,1.93258427,516
5188,임곡90_5060,1.307692308,221
5189,임곡90_5127,1.419354839,44
5190,임곡90_5128,1.425702811,355
5191,임곡90_5238,1.08,54
5192,임곡90_5242,1.656509695,598
5193,임곡90_5243,1.580645161,245
5194,임곡90_5138,1.218309859,173
5195,임곡90_5256,1.054545455,58
5196,임곡90_5065,1.556818182,274
5197,임곡90_5164,1.954887218,260
5198,임곡90_5165,1.337837838,198
5199,임곡90_5973,1.215384615,79
5200,임곡90_5344,1.152380952,121
5201,임곡90_5784,1.827242525,550
5202,임곡90_5079,1.227272727,81
5203,임곡90_5776,1.04,26
5204,임곡90_5774,1.042857143,73
5205,임곡90_5147,1.173913043,27
5206,임곡90_5792,1.528735632,133
5207,임곡90_5265,2.625222025,1478
5208,임곡90_5266,1.371727749,262
5209,임곡90_5086,1.407894737,107
5210,임곡91_5332,1.733333333,52
5211,임곡91_5432,1.220930233,105
5212,임곡91_5688,1,4
5213,임곡91_5094,1.608108108,119
5214,임곡91_5100,1.24,93
5215,임곡91_5103,1.150943396,61
5216,임곡91_5349,1.238095238,26
5217,임곡91_5356,1.019607843,52
5218,임곡91_5533,1.318181818,58
5219,임곡91_5442,1.476923077,96
5220,임곡91_5378,1.095238095,23
5221,임곡91_5557,1.269230769,66
5222,임곡91_5390,1.05,21
5223,임곡91_5391,1,20
5224,임곡91_5446,1.677419355,208
5225,임곡91_5416,1.117647059,19
5226,임곡91_5451,1.14893617,54
5227,좌석02_2209,1.978682171,1021
5228,좌석02_4434,3.269281046,2501
5229,좌석02_4435,6.007920792,6068
5230,좌석02_5202,1.782122905,319
5231,좌석02_5203,2.172638436,1334
5232,좌석02_5158,6.747274529,6808
5233,좌석02_5159,7.368421053,7560
5234,좌석02_4333,1.732510288,842
5235,좌석02_4334,3.144994246,2733
5236,좌석02_2001,8.535643564,8621
5237,좌석02_2002,4.673096447,4603
5238,좌석02_2003,5.01076555,4189
5239,좌석02_2004,1.700787402,864
5240,좌석02_1122,1.736196319,849
5241,좌석02_1123,5.453658537,4472
5242,좌석02_6446,6.930460333,7076
5243,좌석02_2131,1.919642857,860
5244,좌석02_2328,1.880217786,1036
5245,좌석02_2213,3.140969163,2852
5246,좌석02_2214,5.017206478,4957
5247,좌석02_1115,1.214285714,289
5248,좌석02_1116,2.151898734,1530
5249,좌석02_5008,2.38034188,1671
5250,좌석02_5009,1.142857143,32
5251,좌석02_5017,1.473551637,585
5252,좌석02_1117,1.658227848,917
5253,좌석02_1118,2.550947867,2153
5254,좌석02_1162,3.637130802,1724
5255,좌석02_6443,1,11
5256,좌석02_2191,2.637850467,2258
5257,좌석02_2192,4.871035941,4608
5258,좌석02_6450,13.72072072,15230
5259,좌석02_5470,1.174887892,262
5260,좌석02_5471,1.339805825,414
5261,좌석02_1050,2.857901726,2152
5262,좌석02_2133,1.632989691,792
5263,좌석02_2134,1.370558376,270
5264,좌석02_1158,1.381818182,304
5265,좌석02_5149,1.847792998,1214
5266,좌석02_5254,2.118845501,1248
5267,좌석02_2232,3.368482039,2907
5268,좌석02_2233,2.179521277,1639
5269,좌석02_5164,1.380487805,566
5270,좌석02_5165,2.121468927,1502
5271,좌석02_1100,1.416243655,558
5272,좌석02_1101,1.1,11
5273,좌석02_5166,1.949764521,1242
5274,좌석02_5260,1.606625259,776
5275,좌석02_1127,2.084148728,1065
5276,좌석02_1160,1.777955272,1113
5277,좌석02_4350,2.148044693,1538
5278,좌석02_4351,4.742798354,4610
5279,좌석02_6621,1.171428571,41
5280,좌석02_1148,5.520114943,3842
5281,좌석02_1183,1.406976744,363
5282,좌석02_1149,1.598790323,793
5283,좌석02_1150,1.133333333,34
5284,좌석02_1157,1.2,60
5285,좌석02_1163,1.827079935,1120
5286,좌석02_1151,1.502564103,586
5287,좌석02_1164,1.225806452,38
5288,좌석02_2237,3.713661202,3398
5289,좌석02_2238,4.166996047,4217
5290,좌석02_6622,9.062385321,9878
5291,좌석02_2239,5.916916917,5911
5292,좌석02_2241,2.071428571,1189
5293,좌석02_2242,2.430288462,2022
5294,좌석02_6451,10.29252336,11013
5295,좌석02_6449,1.828947368,139
5296,좌석02_1167,1.657743786,867
5297,지원15_4356,1.279069767,275
5298,지원15_4357,3.534342258,3036
5299,지원15_1093,2.942583732,2460
5300,지원15_4560,2.610747051,1992
5301,지원15_4561,1.948905109,1068
5302,지원15_1139,1.264705882,344
5303,지원15_1083,2.068965517,1260
5304,지원15_4018,1.29218107,314
5305,지원15_4379,1.862681745,1153
5306,지원15_4380,2.254545455,1736
5307,지원15_4415,2.025641026,474
5308,지원15_4564,5.294444444,1906
5309,지원15_1107,1.365269461,228
5310,지원15_1108,3.297101449,2730
5311,지원15_1020,2.020260492,1396
5312,지원15_1021,2.334913112,1478
5313,지원15_4425,1.607623318,717
5314,지원15_4164,2.973913043,2394
5315,지원15_4165,3.666666667,3135
5316,지원15_4174,3.452380952,3335
5317,지원15_4175,2.83518931,2546
5318,지원15_4418,2.24877451,1835
5319,지원15_4419,2.52388535,1585
5320,지원15_1056,2.197350993,1659
5321,지원15_1057,2.469635628,1830
5322,지원15_4035,3.043557169,1677
5323,지원15_4036,1.9,19
5324,지원15_1026,2.274630542,1847
5325,지원15_1027,2.4781491,1928
5326,지원15_1017,3.879960317,3911
5327,지원15_1018,5.605932203,5292
5328,지원15_1155,1.659192825,740
5329,지원15_1156,4.032444959,3480
5330,지원15_4566,2.506189821,1822
5331,지원15_4422,1.229050279,220
5332,지원15_4370,2.412621359,1491
