idx,name,i,r,dong_name,dist
2462,수완지구,5697,수완49,수완동, 광산구 
2463,조선대병원,1149,지원15,학동, 동구 
2464,성덕마을,5704,송암72,수완동, 광산구 
2465,풍암한국아파트,2267,지원45,풍암동, 서구 
2466,임동행정복지센터,4498,일곡38,임동, 북구 
2467,수완진흥더루벤스,5761,진곡196,장덕동,장덕동
2468,진월대주아파트,3243,일곡28,진월동, 남구 
2469,농산물품질관리원,5656,첨단23,쌍암동,광산구
2470,살레시오여고,1018,봉선27,동명동, 동구 
2471,송화마을5단지,3275,금남59,노대동,노대동
2472,광주일고/광주고용센터,4512,518,북동,북동
2473,풍암모아아파트,2258,순환01(시청행),풍암동, 서구 
2474,양림휴먼시아2차,3078,첨단95,방림1동, 남구 
2475,서구청,2050,금호36,농성1동, 서구 
2476,풍영정천1교,5301,봉선37,운남동, 광산구 
2477,정광고입구,5262,상무62(상무역행),소촌동,소촌동
2478,광주은행북부지점,4511,첨단30,유동,유동
2479,농장다리,1014,송암74,지산1동, 동구 
2480,오치한전,4377,지원15,오치2동, 북구 
