idx,i,dis_5159,dis_5745,dis_5445,dis_4475,dis_4406,dis_2002,dis_2232,dis_1130,dis_3236,time
171,2049,8.935207813,7.165886661,7.988838542,5.606744657,3.23862399,1.134416046,3.131036819,2.898590912,4.01327195,18_20
172,2050,9.025796837,7.408333806,8.256896773,5.817129645,3.328275639,1.397130004,3.311539009,2.711538554,3.755955456,18_20
173,2051,8.84646374,6.475710778,7.130177539,4.85468046,2.935782315,0.475310119,2.794169674,3.487205945,4.889614188,18_20
174,2052,8.82502182,7.489798698,8.47483132,6.176924955,3.692164172,1.595043752,3.267760284,2.811799534,3.464739728,18_20
175,2053,8.856361342,7.512939197,8.488023029,6.169903092,3.67147268,1.607853594,3.296196106,2.780842957,3.458226562,18_20
176,2054,8.939699486,7.457172293,8.369368192,5.991361022,3.4979417,1.493477354,3.298075997,2.741078504,3.607765139,18_20
177,2055,8.92923616,7.461243647,8.380498468,6.00988565,3.516771854,1.50356876,3.295692312,2.746416818,3.592776006,18_20
178,2056,8.710991311,7.177230887,8.130742327,5.903047653,3.558534231,1.250834501,3.019207168,3.011134962,3.803202635,18_20
179,2057,8.663414089,7.11283168,8.07365863,5.87876979,3.569229045,1.19471776,2.957414489,3.07085278,3.853346264,18_20
180,2058,9.288142446,7.677016306,8.465177008,5.859172875,3.223685057,1.63978859,3.597887667,2.425439186,3.631999246,18_20
181,2059,8.956218954,7.32200765,8.182459179,5.788047775,3.345822907,1.316874247,3.226819302,2.795734771,3.813106406,18_20
182,2060,6.077257402,4.754134533,6.646444346,6.565249964,5.631572158,2.322317743,0.310775571,5.905864879,5.774450734,18_20
183,2061,6.053056486,4.740163435,6.643724604,6.581499135,5.655395211,2.347007886,0.30893427,5.930215511,5.79072888,18_20
184,2062,6.461006144,4.722925103,6.417587992,6.149003092,5.243754383,1.969445969,0.356538457,5.673352671,5.792745811,18_20
185,2063,6.463046407,4.707310289,6.399804825,6.137612159,5.241864253,1.971445457,0.352088971,5.68174064,5.808780491,18_20
186,2064,6.711686462,4.942334708,6.521185495,6.01854732,4.995371656,1.69872591,0.638023842,5.393132382,5.589361646,18_20
187,2065,6.692677861,4.942676612,6.531853187,6.039345984,5.014754671,1.716076979,0.624563109,5.403790592,5.586544145,18_20
188,2066,7.245242942,5.892909721,7.325099791,6.194287565,4.618926391,1.312423261,1.518965503,4.550739052,4.661817189,18_20
189,2067,5.927238711,5.057483139,7.034589492,6.908610809,5.823131789,2.480842643,0.705398471,5.879442452,5.518341266,18_20
190,2068,6.877743436,4.959914355,6.449193154,5.848739275,4.827533352,1.547352283,0.774706381,5.291973634,5.599194027,18_20
191,2069,6.90003563,4.950315242,6.425927651,5.81767963,4.804890981,1.530796189,0.790935611,5.28697421,5.614369751,18_20
192,2070,7.115377746,5.920241582,7.423856586,6.364091272,4.780219545,1.483362406,1.497333212,4.631825574,4.609553559,18_20
193,2072,7.121891915,5.310874882,6.711912142,5.831454898,4.602307456,1.271707082,1.094432344,4.939831425,5.274516005,18_20
194,2073,6.027944292,5.350511574,7.300980902,7.018435638,5.786209969,2.440137726,0.965490959,5.692190938,5.233045521,18_20
195,2074,6.806208116,5.717723372,7.34384456,6.515997218,5.053121828,1.726409805,1.252607248,4.941176661,4.795240741,18_20
196,2075,6.638332303,5.65138752,7.350121682,6.63679803,5.217147929,1.885038435,1.172245044,5.09533529,4.862916696,18_20
197,2076,5.990705272,6.064424226,8.09586612,7.653862687,6.13019679,2.850532726,1.760393053,5.599145167,4.66587114,18_20
198,2077,6.654851965,6.270439297,8.047891697,7.19157948,5.496827935,2.278770727,1.804463564,4.942130334,4.282470359,18_20
199,2078,6.609290412,6.259419711,8.055343026,7.227301735,5.543019419,2.32046756,1.798927347,4.986546435,4.301931098,18_20
200,2079,5.991207215,5.870190468,7.881541322,7.478976506,6.028256897,2.72236876,1.545933291,5.61241926,4.811806099,18_20
201,2080,6.085452409,5.99898249,7.98482817,7.502528851,5.989603419,2.702702905,1.650448091,5.510191583,4.675917989,18_20
202,2081,5.438581721,5.333027173,7.529652838,7.571028799,6.404586177,3.058621139,1.300857851,6.215026514,5.458249627,18_20
203,2082,7.279293876,6.250716009,7.731659353,6.507073124,4.748009233,1.547105556,1.816184612,4.392191636,4.27911027,18_20
204,2083,7.266310837,6.261848987,7.751338111,6.532767071,4.769744505,1.572299197,1.822854042,4.399489575,4.265440132,18_20
205,2084,7.093611796,6.512348748,8.131002233,6.981069382,5.132269097,2.008332661,2.033204937,4.50400438,4.001991466,18_20
206,2085,7.021396295,6.487401298,8.134924751,7.031397188,5.202322541,2.06466254,2.006910422,4.574626471,4.030664103,18_20
207,2087,6.137201098,5.425205518,7.33282214,6.966800416,5.691201227,2.347081963,1.004546056,5.577209936,5.141255759,18_20
208,2088,5.987101121,5.560542834,7.545461369,7.222510495,5.899693061,2.563485455,1.209853695,5.66958475,5.063626849,18_20
209,2089,5.952788725,5.428560231,7.417834554,7.152093607,5.890706205,2.547272206,1.083166133,5.733121685,5.18568037,18_20
210,2090,6.278250247,6.077132381,7.991423888,7.385237679,5.816135553,2.546197144,1.672645765,5.318566672,4.545908275,18_20
211,2091,6.419009728,5.518693449,7.305893846,6.754790508,5.414372435,2.073403097,1.043131705,5.315737849,5.008034193,18_20
212,2092,6.436548314,8.453916033,10.68760068,9.962921505,7.841558462,4.977173692,4.360146621,6.206044772,3.656463065,18_20
