,BUSSTOP_ID,BUSSTOP_NAME,NAME_E,LONGITUDE,LATITUDE,ARS_ID,NEXT_BUSSTOP
4039,3992,마곡,Magok,126.784366,35.082553,5771,동곡분토
4040,6654,오례1구      ,Orye-1gu                      ,127.0776247,35.26785667,삽재골       ,
4041,4005,신용초등학교,Sinyong Elementary School,126.85858964,35.21059595,4615,첨단휴먼시아
4042,4011,대우디오빌,Daewoo the oville,126.85049955,35.15184335,2345,농협운천지점
4043,2995,화훼단지,Floricultural Complex,126.855043,35.1167,2155,공구단지
4044,4021,광주송정역(동),Gwangju Songjeong Station (East),126.79205922,35.13715351,5800,금강1길
4045,4018,하남초교,Hanam Elementary School,126.79944,35.179137,5763,하남도시공사아파트
4046,8365,봉학,Bonghak,126.850225,34.886418,왕정(리),
4047,8366,봉학,Bonghak,126.850454,34.886411,통적골,
4048,4189,공군부대정문,Arifield Front Gate,126.80354086,35.13602039,5874,신한화아파트
4049,4190,공군부대정문,Airfield Front Gate,126.80399031,35.13589576,5875,공항
4050,4191,송정신한화아파트,New HanWha Apt,126.80005997,35.1366486,5876,송정대덕아파트
4051,4192,송정신한화아파트,New HanWha Apt,126.80005188,35.13649012,5877,비행장정문
4052,8367,부곡1구,Bugok District 1,126.975523,34.955818,부곡3,
4053,8368,만인리,Manin-ri,126.963081,35.009315,천덕리,
4054,4997,남광주역(안),Namgwagju Station,126.92274067,35.13869859,,
4055,6698,육판서길,Yukpan West Road,126.938843,35.08653,1678,육판리
4056,4215,평지,PyungJi,126.71722412,35.13033676,,
4057,4245,KTX체육기지,KTX Sports Park,126.791286,35.183023,5980,종점
4058,4248,기룡마을,Giryong Town,126.762415,35.098881,5960,조산동길
4059,4250,대덕훼미리아파트,Daedeok Family Apt.,126.81071422,35.15461804,5962,상수도광산사업소
4060,4252,돈보스코학교,Don Bosco School,126.79410262,35.18459443,5964,하남파출소
4061,4254,봉흥마을,Bongheung Town,126.731083,35.218774,5966,원임곡
4062,4256,선운리버프라임아파트,Sunun River Prime Apt,126.780249,35.151001,5968,보문고
4063,4260,운수마을,Unsu Town,126.78086382,35.15609314,5972,무역회관
4064,4263,지실마을,Jisil Town,126.793913,35.17477,5975,하남1교
4065,4265,첨단병원입구,cheomdan Hospital Entrance,126.84609716,35.21880165,5977,광주교통방송/광주디자인센터
4066,4266,첨단병원입구,cheomdan Hospital Entrance,126.84585937,35.21881655,5978,농산물품질관리원
4067,4267,광주국제양궁장,Gwangju International Archery,126.891866,35.133341,3297,봉주초교
4068,4268,광주국제양궁장,Gwangju International Archery,126.891738,35.133155,3298,서남하이츠
4069,4269,봉주초교,Bongju Elementary School,126.889256,35.136653,3299,주월명지아파트
