정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
GUB2603080,의료원,1,,,35.9557991,126.7103806,2021-09-16 5:01,2603080,35020,군산시
GUB2603090,신기,1,,,35.90575027,126.7103653,2021-09-16 5:01,2603090,35020,군산시
GUB2603100,신기,1,,,35.90594864,126.7104797,2021-09-16 5:01,2603100,35020,군산시
GUB2603110,삼학대우아파트,1,,,35.97743225,126.7104645,2021-09-16 5:01,2603110,35020,군산시
GUB2603120,서흥중학교,1,,,35.97161865,126.710495,2021-09-16 5:01,2603120,35020,군산시
GUB2603130,수송코아루,1,,,35.96533203,126.7105942,2021-09-16 5:01,2603130,35020,군산시
GUB2603140,주공4차,1,,,35.96893311,126.710495,2021-09-16 5:01,2603140,35020,군산시
GUB2603150,오투그란데정문,1,,,35.96266556,126.7105942,2021-09-16 5:01,2603150,35020,군산시
GUB2603160,수송동신정문,1,,,35.96046448,126.7106247,2021-09-16 5:01,2603160,35020,군산시
GUB2603170,서흥남사거리,1,,,35.97405243,126.7107391,2021-09-16 5:01,2603170,35020,군산시
GUB2603180,수송동신,1,,,35.95826721,126.7106476,2021-09-16 5:01,2603180,35020,군산시
GUB2603190,창성주공아파트,1,,,35.98304749,126.7107773,2021-09-16 5:01,2603190,35020,군산시
GUB2603200,선거관리위원회,1,,,35.97131729,126.7108536,2021-09-16 5:01,2603200,35020,군산시
GUB2603210,수송동신,1,,,35.96038437,126.7108078,2021-09-16 5:01,2603210,35020,군산시
GUB2603220,중앙여고,1,,,35.96896744,126.7108231,2021-09-16 5:01,2603220,35020,군산시
GUB2603230,오투그란데정문,1,,,35.96266556,126.7107239,2021-09-16 5:01,2603230,35020,군산시
GUB2603240,창성주공아파트,1,,,35.98278427,126.7107239,2021-09-16 5:01,2603240,35020,군산시
GUB2603250,중앙사거리,1,,,35.98668289,126.7110519,2021-09-16 5:01,2603250,35020,군산시
GUB2603260,근대역사박물관,1,,,35.98996735,126.7125168,2021-09-16 5:01,2603260,35020,군산시
GUB2603270,삼학주공아파트,1,,,35.97791672,126.7114105,2021-09-16 5:01,2603270,35020,군산시
GUB2603280,교보빌딩,1,,,35.98671341,126.711586,2021-09-16 5:01,2603280,35020,군산시
GUB2603290,군산의료원,1,,,35.9554863,126.7119293,2021-09-16 5:01,2603290,35020,군산시
GUB2603300,근대역사박물관,1,,,35.9897995,126.7123032,2021-09-16 5:01,2603300,35020,군산시
GUB2603310,민방위대피소앞,1,,,35.98771667,126.7122574,2021-09-16 5:01,2603310,35020,군산시
GUB2603320,쌍용예가아파트,1,,,35.95191574,126.7142716,2021-09-16 5:01,2603320,35020,군산시
GUB2603330,지산연립,1,,,35.96995163,126.7125626,2021-09-16 5:01,2603330,35020,군산시
